Source,Target,Type,Id,Label,Weight
Управление проектами,UI/UX Дизайн,Undirected,5232,,82
Управление проектами,Визуализация данных,Undirected,4953,,13
Управление проектами,Умение преподавать,Undirected,4865,,9
Управление проектами,Управление проектами,Undirected,4721,,174
Управление проектами,Анализ продукта,Undirected,4251,,4
Управление проектами,Машинное обучение,Undirected,4062,,3
Управление проектами,Python,Undirected,3728,,7
Управление проектами,Apache Kafka,Undirected,3548,,6
Управление проектами,Подготовка коммерческих предложений,Undirected,3429,,10
Управление проектами,Знания в области химической технологии,Undirected,3285,,14
Управление проектами,Управление производством,Undirected,3062,,24
Управление проектами,Умение принимать решения,Undirected,2852,,28
Управление проектами,Знание английского языка,Undirected,2847,,185
Управление проектами,Моделирование рисков,Undirected,2478,,10
Управление проектами,Оценка эффективности рекламных инструментов,Undirected,2415,,2
Управление проектами,Управление данными,Undirected,1968,,9
Управление проектами,Работа с инвесторами,Undirected,1855,,12
Управление проектами,Математический анализ,Undirected,1680,,7
Управление проектами,Управление рисками,Undirected,1583,,26
Управление проектами,Экономический анализ,Undirected,1564,,8
Управление проектами,Статистическая обработка данных,Undirected,1258,,43
Управление проектами,Знания в области электротехники,Undirected,1141,,22
Управление проектами,Составление графиков,Undirected,1057,,1
Управление проектами,Обеспечение информационной безопасности,Undirected,214,,6
Управление проектами,Grafana,Undirected,21,,6
Power Pivot,Управление проектами,Undirected,6684,,2
Ведение бухгалтерского учета,Управление проектами,Undirected,6636,,1
Обслуживание клиентов банка,Управление проектами,Undirected,6554,,6
Работа с биржами,Управление проектами,Undirected,6478,,10
Медиалогия,Управление проектами,Undirected,6441,,2
Инжиниринг,Управление проектами,Undirected,6265,,1
Qlik Sense,Управление проектами,Undirected,6103,,4
Выполнение производственного технического контроля,Управление проектами,Undirected,6024,,17
Маркетинг,Управление проектами,Undirected,5944,,36
Управленческое консультирование,Управление проектами,Undirected,5824,,53
Прототипирование,Управление проектами,Undirected,5791,,18
Электролиз,Управление проектами,Undirected,5720,,2
Разработка чертежей,Управление проектами,Undirected,5696,,3
Контроль качества,Управление проектами,Undirected,5649,,9
Мониторинг СМИ,Управление проектами,Undirected,5621,,2
QGIS,Управление проектами,Undirected,5609,,1
IBM SPSS Statistics,Управление проектами,Undirected,5485,,22
Анализ инвестиционных проектов,Управление проектами,Undirected,5345,,11
Управление кредитными и процентными рисками,Управление проектами,Undirected,5277,,1
Научно-исследовательская работа,Управление проектами,Undirected,5249,,1127
Численные расчеты,Управление проектами,Undirected,5191,,4
Фотосъемка,Управление проектами,Undirected,5100,,2
Разработка сметной документации,Управление проектами,Undirected,4887,,1
Публичные выступления и проведение презентаций,Управление проектами,Undirected,4832,,289
Работа с жилой недвижимостью,Управление проектами,Undirected,4799,,1
Знания в области социальной психологии,Управление проектами,Undirected,4784,,2
Экспедирование и транспортная логистика,Управление проектами,Undirected,4738,,2
Figma,Управление проектами,Undirected,4415,,16
Проведение интервью,Управление проектами,Undirected,4353,,76
Знание нормативно-правовых документов,Управление проектами,Undirected,4234,,15
Чтение технической документации,Управление проектами,Undirected,4111,,16
Организация учебного процесса,Управление проектами,Undirected,4028,,1
Знания в области силовой электроники,Управление проектами,Undirected,4021,,1
Финансовый анализ,Управление проектами,Undirected,4005,,28
Технический перевод,Управление проектами,Undirected,3791,,1
Разработка пользовательских сценариев,Управление проектами,Undirected,3753,,35
Создание презентационных материалов,Управление проектами,Undirected,3693,,172
Знания в области материаловедения,Управление проектами,Undirected,3606,,2
Параллельное программирование,Управление проектами,Undirected,3525,,1
Прохождение и проведение экспертиз,Управление проектами,Undirected,3517,,9
Microsoft PowerPoint,Управление проектами,Undirected,3441,,162
Анализ данных,Управление проектами,Undirected,3129,,190
DAX,Управление проектами,Undirected,3001,,5
Написание статей,Управление проектами,Undirected,2798,,23
Нефтепереработка,Управление проектами,Undirected,2524,,1
Составление карты пути клиента (CJM),Управление проектами,Undirected,2467,,49
GameDev,Управление проектами,Undirected,2397,,3
Знания в области гидрометаллургии,Управление проектами,Undirected,2225,,2
Проектное финансирование,Управление проектами,Undirected,2178,,6
Microsoft Excel,Управление проектами,Undirected,2089,,131
Разработка конструкторской документации,Управление проектами,Undirected,1969,,4
Управление продуктом,Управление проектами,Undirected,1891,,639
YouGile,Управление проектами,Undirected,1789,,1
Работа с Blockchain и цифровыми финансовыми активами,Управление проектами,Undirected,1587,,1
Взаимодействие с образовательными организациями,Управление проектами,Undirected,1460,,2
3D печать,Управление проектами,Undirected,1383,,3
Инициативность,Управление проектами,Undirected,1180,,7
